symbol,timestamp,close,open,high,low,volume,raw_pred,confidence,sentiment_score,fused_signal,was_overridden,override_reason,model
JPM,2025-06-11 19:00:00+00:00,268.24,268.34,268.42,267.56,1030181.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-11 20:00:00+00:00,268.15,268.15,268.9,268.15,2702416.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-11 22:00:00+00:00,268.0,268.22,268.22,268.0,2112.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-11 23:00:00+00:00,268.0,268.14,268.14,268.0,1285.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-12 08:00:00+00:00,266.1,267.09,267.09,266.1,234.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-12 10:00:00+00:00,265.85,265.85,265.85,265.85,353.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-12 11:00:00+00:00,266.15,265.97,266.15,265.88,2225.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-12 12:00:00+00:00,266.91,266.608,266.98,265.711,1120742.0,BUY,1.0,0.0616036280989646,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-12 13:00:00+00:00,267.07,267.0,268.15,265.14,667112.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-12 14:00:00+00:00,267.845,267.07,268.22,266.76,751035.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-12 15:00:00+00:00,266.935,267.89,268.28,266.59,522798.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-12 16:00:00+00:00,267.31,266.935,267.8099,266.64,454863.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-12 17:00:00+00:00,267.88,267.31,267.9425,267.28,437972.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-12 18:00:00+00:00,268.005,267.84,268.07,267.6048,446280.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-12 19:00:00+00:00,268.21,268.005,268.29,267.67,909786.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-12 20:00:00+00:00,268.24,268.24,268.24,268.0,1089697.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-12 21:00:00+00:00,268.0,267.83,268.0,267.5125,634.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-12 23:00:00+00:00,267.039,268.18,268.18,267.039,274.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-13 08:00:00+00:00,264.0,264.84,264.84,264.0,965.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-13 10:00:00+00:00,265.0,264.11,265.02,264.11,3941.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-13 11:00:00+00:00,264.91,265.0,265.28,264.91,1040.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-13 12:00:00+00:00,265.0,264.3532,265.65,263.95,7215.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-13 13:00:00+00:00,263.25,264.9,266.37,263.05,905239.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-13 14:00:00+00:00,265.065,263.32,265.67,262.71,1347665.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-13 15:00:00+00:00,266.6,265.12,266.96,264.95,667477.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-13 16:00:00+00:00,266.66,266.53,267.02,266.29,361513.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-13 17:00:00+00:00,265.96,266.63,266.77,265.54,421801.0,BUY,1.0,0.0060424506664276,BUY,False,none,BUY_AND_HOLD
